BCV	text	func_morph	form_morph	strongs	lemma	normalized
John 1:7	τοῦ	T-GSN	T-GSN	3588	ὁ	τοῦ	
John 1:7	φωτός,	N-GSN	N-GSN	5457	φῶς	φωτός	
John 1:7	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
John 1:7	πάντες	A-NPM	A-NPM	3956	πᾶς	πάντες	
John 1:7	πιστεύσωσιν	V-AAS-3P	V-AAS-3P	4100&5661	πιστεύω	πιστεύσωσιν	
John 1:7	δι’	PREP	PREP	1223	διά	δι’	
John 1:7	αὐτοῦ.	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:8	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
John 1:8	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:8	ἐκεῖνος	D-NSM	D-NSM	1565	ἐκεῖνος	ἐκεῖνος	
John 1:8	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
John 1:8	φῶς,	N-NSN	N-NSN	5457	φῶς	φῶς	
John 1:8	ἀλλ’	CONJ	CONJ	235	ἀλλά	ἀλλ’	
John 1:8	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
John 1:8	μαρτυρήσῃ	V-AAS-3S	V-AAS-3S	3140&5661	μαρτυρέω	μαρτυρήσῃ	
John 1:8	περὶ	PREP	PREP	4012	περί	περί	
John 1:8	τοῦ	T-GSN	T-GSN	3588	ὁ	τοῦ	
John 1:8	φωτός.	N-GSN	N-GSN	5457	φῶς	φωτός	
John 1:9	Ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	Ἦν	
John 1:9	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
John 1:9	φῶς	N-NSN	N-NSN	5457	φῶς	φῶς	
John 1:9	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
John 1:9	ἀληθινὸν,	A-NSN	A-NSN	228	ἀληθινός	ἀληθινόν	
John 1:9	ὃ	R-NSN	R-NSN	3739	ὅς	ὅ	
John 1:9	φωτίζει	V-PAI-3S	V-PAI-3S	5461&5719	φωτίζω	φωτίζει	
John 1:9	πάντα	A-ASM	A-ASM	3956	πᾶς	πάντα	
