BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:5	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:5	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:5	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:5	Βόες	N-PRI	N-PRI	1003	Βόες	Βόες	
Matt 1:5	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:5	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:5	Ῥαχάβ,	N-PRI	N-PRI	4477	Ῥαχάβ	Ῥαχάβ	
Matt 1:5	Βόες	N-PRI	N-PRI	1003	Βόες	Βόες	
Matt 1:5	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:5	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:5	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:5	Ἰωβὴδ	N-PRI	N-PRI	5601	Ἰωβήδ	Ἰωβήδ	
Matt 1:5	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:5	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:5	Ῥούθ,	N-PRI	N-PRI	4503	Ῥούθ	Ῥούθ	
Matt 1:5	Ἰωβὴδ	N-PRI	N-PRI	5601	Ἰωβήδ	Ἰωβήδ	
Matt 1:5	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:5	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:5	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:5	Ἰεσσαί,	N-PRI	N-PRI	2421	Ἰεσσαί	Ἰεσσαί	
Matt 1:6	Ἰεσσαὶ	N-PRI	N-PRI	2421	Ἰεσσαί	Ἰεσσαί	
Matt 1:6	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:6	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:6	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:6	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:6	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:6	βασιλέα.	N-ASM	N-ASM	935	βασιλεύς	βασιλέα	
Matt 1:6	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:6	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:6	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:6	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:6	Σολομῶνα	N-ASM	N-ASM	4672	Σολομών	Σολομῶνα	
Matt 1:6	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:6	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:6	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
Matt 1:6	Οὐρίου,	N-GSM	N-GSM	3774	Οὐρίας	Οὐρίου	
Matt 1:7	Σολομὼν	N-NSM	N-NSM	4672	Σολομών	Σολομών	
Matt 1:7	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:7	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:7	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:7	Ῥοβοάμ,	N-PRI	N-PRI	4497	Ῥοβοάμ	Ῥοβοάμ	
Matt 1:7	Ῥοβοὰμ	N-PRI	N-PRI	4497	Ῥοβοάμ	Ῥοβοάμ	
Matt 1:7	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:7	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:7	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:7	Ἀβιά,	N-PRI	N-PRI	7	Ἀβιά	Ἀβιά	
Matt 1:7	Ἀβιὰ	N-PRI	N-PRI	7	Ἀβιά	Ἀβιά	
Matt 1:7	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:7	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:7	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:7	Ἀσάφ,	N-PRI	N-PRI	0760	Ἀσάφ	Ἀσάφ	
Matt 1:8	Ἀσὰφ	N-PRI	N-PRI	0760	Ἀσάφ	Ἀσάφ	
Matt 1:8	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:8	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:8	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:8	Ἰωσαφάτ,	N-PRI	N-PRI	2498	Ἰωσαφάτ	Ἰωσαφάτ	
Matt 1:8	Ἰωσαφὰτ	N-PRI	N-PRI	2498	Ἰωσαφάτ	Ἰωσαφάτ	
Matt 1:8	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:8	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:8	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:8	Ἰωράμ,	N-PRI	N-PRI	2496	Ἰωράμ	Ἰωράμ	
Matt 1:8	Ἰωρὰμ	N-PRI	N-PRI	2496	Ἰωράμ	Ἰωράμ	
Matt 1:8	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:8	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:8	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:8	Ὀζείαν,	N-ASM	N-ASM	3604	Ὀζίας	Ὀζείαν	
Matt 1:9	Ὀζείας	N-NSM	N-NSM	3604	Ὀζίας	Ὀζείας	
Matt 1:9	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:9	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:9	Ἰωαθάμ,	N-PRI	N-PRI	2488	Ἰωαθάμ	Ἰωαθάμ	
Matt 1:9	Ἰωαθὰμ	N-PRI	N-PRI	2488	Ἰωαθάμ	Ἰωαθάμ	
Matt 1:9	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:9	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:9	Ἄχαζ,	N-PRI	N-PRI	881	Ἀχάζ	Ἄχαζ	
Matt 1:9	Ἄχαζ	N-PRI	N-PRI	881	Ἀχάζ	Ἄχαζ	
Matt 1:9	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:9	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:9	Ἐζεκίαν,	N-ASM	N-ASM	1478	Ἑζεκίας	Ἐζεκίαν	
Matt 1:10	Ἐζεκίας	N-NSM	N-NSM	1478	Ἑζεκίας	Ἐζεκίας	
Matt 1:10	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:10	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:10	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:10	Μανασσῆ,	N-ASM	N-ASM	3128	Μανασσῆ	Μανασσῆ	
Matt 1:10	Μανασσῆς	N-NSM	N-NSM	3128	Μανασσῆ	Μανασσῆς	
Matt 1:10	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:10	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:10	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:10	Ἀμώς,	N-PRI	N-PRI	301	Ἀμώς	Ἀμώς	
Matt 1:10	Ἀμὼς	N-PRI	N-PRI	301	Ἀμώς	Ἀμώς	
Matt 1:10	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:10	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:10	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:10	Ἰωσείαν,	N-ASM	N-ASM	2502	Ἰωσίας	Ἰωσείαν	
Matt 1:11	Ἰωσείας	N-NSM	N-NSM	2502	Ἰωσίας	Ἰωσείας	
Matt 1:11	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:11	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:11	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:11	Ἰεχονίαν	N-ASM	N-ASM	2423	Ἰεχονίας	Ἰεχονίαν	
Matt 1:11	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:11	τοὺς	T-APM	T-APM	3588	ὁ	τούς	
Matt 1:11	ἀδελφοὺς	N-APM	N-APM	80	ἀδελφός	ἀδελφούς	
Matt 1:11	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Matt 1:11	ἐπὶ	PREP	PREP	1909	ἐπί	ἐπί	
Matt 1:11	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:11	μετοικεσίας	N-GSF	N-GSF	3350	μετοικεσία	μετοικεσίας	
Matt 1:11	Βαβυλῶνος.	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:12	Μετὰ	PREP	PREP	3326	μετά	Μετά	
Matt 1:12	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:12	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
Matt 1:12	μετοικεσίαν	N-ASF	N-ASF	3350	μετοικεσία	μετοικεσίαν	
Matt 1:12	Βαβυλῶνος	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:12	Ἰεχονίας	N-NSM	N-NSM	2423	Ἰεχονίας	Ἰεχονίας	
Matt 1:12	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:12	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:12	Σαλαθιήλ,	N-PRI	N-PRI	4528	Σαλαθιήλ	Σαλαθιήλ	
Matt 1:12	Σαλαθιὴλ	N-PRI	N-PRI	4528	Σαλαθιήλ	Σαλαθιήλ	
Matt 1:12	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:12	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:12	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:12	Ζοροβαβέλ,	N-PRI	N-PRI	2216	Ζοροβαβέλ	Ζοροβαβέλ	
Matt 1:13	Ζοροβαβὲλ	N-PRI	N-PRI	2216	Ζοροβαβέλ	Ζοροβαβέλ	
Matt 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:13	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:13	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:13	Ἀβιούδ,	N-PRI	N-PRI	10	Ἀβιούδ	Ἀβιούδ	
Matt 1:13	Ἀβιοὺδ	N-PRI	N-PRI	10	Ἀβιούδ	Ἀβιούδ	
Matt 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:13	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:13	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:13	Ἐλιακείμ,	N-PRI	N-PRI	1662	Ἐλιακίμ	Ἐλιακείμ	
Matt 1:13	Ἐλιακεὶμ	N-PRI	N-PRI	1662	Ἐλιακίμ	Ἐλιακείμ	
Matt 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:13	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:13	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:13	Ἀζώρ,	N-PRI	N-PRI	107	Ἀζώρ	Ἀζώρ	
Matt 1:14	Ἀζὼρ	N-PRI	N-PRI	107	Ἀζώρ	Ἀζώρ	
Matt 1:14	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:14	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:14	Σαδώκ,	N-PRI	N-PRI	4524	Σαδώκ	Σαδώκ	
Matt 1:14	Σαδὼκ	N-PRI	N-PRI	4524	Σαδώκ	Σαδώκ	
Matt 1:14	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:14	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:14	Ἀχείμ,	N-PRI	N-PRI	885	Ἀχίμ	Ἀχείμ	
Matt 1:14	Ἀχεὶμ	N-PRI	N-PRI	885	Ἀχίμ	Ἀχείμ	
Matt 1:14	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:14	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:14	Ἐλιούδ,	N-PRI	N-PRI	1664	Ἐλιούδ	Ἐλιούδ	
Matt 1:15	Ἐλιοὺδ	N-PRI	N-PRI	1664	Ἐλιούδ	Ἐλιούδ	
Matt 1:15	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:15	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:15	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:15	Ἐλεάζαρ,	N-PRI	N-PRI	1648	Ἐλεάζαρ	Ἐλεάζαρ	
Matt 1:15	Ἐλεάζαρ	N-PRI	N-PRI	1648	Ἐλεάζαρ	Ἐλεάζαρ	
Matt 1:15	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:15	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:15	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:15	Μαθθάν,	N-PRI	N-PRI	3157	Ματθάν	Μαθθάν	
Matt 1:15	Μαθθὰν	N-PRI	N-PRI	3157	Ματθάν	Μαθθάν	
Matt 1:15	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:15	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:15	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:15	Ἰακώβ,	N-PRI	N-PRI	2384	Ἰακώβ	Ἰακώβ	
Matt 1:16	Ἰακὼβ	N-PRI	N-PRI	2384	Ἰακώβ	Ἰακώβ	
Matt 1:16	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:16	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:16	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:16	Ἰωσὴφ	N-PRI	N-PRI	2501	Ἰωσήφ	Ἰωσήφ	
Matt 1:16	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:16	ἄνδρα	N-ASM	N-ASM	435	ἀνήρ	ἄνδρα	
Matt 1:16	Μαρίας,	N-GSF	N-GSF	3137	Μαρία	Μαρίας	
Matt 1:16	ἐξ	PREP	PREP	1537	ἐκ	ἐξ	
Matt 1:16	ἧς	R-GSF	R-GSF	3739	ὅς	ἧς	
Matt 1:16	ἐγεννήθη	V-API-3S	V-API-3S	1080&5681	γεννάω	ἐγεννήθη	
Matt 1:16	Ἰησοῦς	N-NSM	N-NSM	2424	Ἰησοῦς	Ἰησοῦς	
Matt 1:16	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Matt 1:16	λεγόμενος	V-PPP-NSM	V-PEP-NSM	3004&5746	λέγω	λεγόμενος	
Matt 1:16	Χριστός.	N-NSM	N-NSM	5547	Χριστός	Χριστός	
Matt 1:17	Πᾶσαι	A-NPF	A-NPF	3956	πᾶς	Πᾶσαι	
Matt 1:17	οὖν	CONJ	CONJ	3767	οὖν	οὖν	
Matt 1:17	αἱ	T-NPF	T-NPF	3588	ὁ	αἱ	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	ἀπὸ	PREP	PREP	575	ἀπό	ἀπό	
Matt 1:17	Ἀβραὰμ	N-PRI	N-PRI	11	Ἀβραάμ	Ἀβραάμ	
Matt 1:17	ἕως	ADV	ADV	2193	ἕως	ἕως	
Matt 1:17	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	δεκατέσσαρες,	A-NPF	A-NPF	1180	δεκατέσσαρες	δεκατέσσαρες	
Matt 1:17	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:17	ἀπὸ	PREP	PREP	575	ἀπό	ἀπό	
Matt 1:17	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:17	ἕως	ADV	ADV	2193	ἕως	ἕως	
Matt 1:17	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:17	μετοικεσίας	N-GSF	N-GSF	3350	μετοικεσία	μετοικεσίας	
Matt 1:17	Βαβυλῶνος	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	δεκατέσσαρες,	A-NPF	A-NPF	1180	δεκατέσσαρες	δεκατέσσαρες	
Matt 1:17	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:17	ἀπὸ	PREP	PREP	575	ἀπό	ἀπό	
Matt 1:17	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:17	μετοικεσίας	N-GSF	N-GSF	3350	μετοικεσία	μετοικεσίας	
Matt 1:17	Βαβυλῶνος	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:17	ἕως	ADV	ADV	2193	ἕως	ἕως	
Matt 1:17	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
Matt 1:17	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	δεκατέσσαρες.	A-NPF	A-NPF	1180	δεκατέσσαρες	δεκατέσσαρες	
Matt 1:18	Τοῦ	T-GSM	T-GSM	3588	ὁ	Τοῦ	
Matt 1:18	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:18	Ἰησοῦ	N-GSM	N-GSM	2424	Ἰησοῦς	Ἰησοῦ	
Matt 1:18	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
Matt 1:18	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
Matt 1:18	γένεσις	N-NSF	N-NSF	1078	γένεσις	γένεσις	
Matt 1:18	οὕτως	ADV	ADV	3779	οὕτω	οὕτως	
Matt 1:18	ἦν.	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
Matt 1:18	μνηστευθείσης	V-APP-GSF	V-APP-GSF	3423&5685	μνηστεύω	μνηστευθείσης	
Matt 1:18	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:18	μητρὸς	N-GSF	N-GSF	3384	μήτηρ	μητρός	
Matt 1:18	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Matt 1:18	Μαρίας	N-GSF	N-GSF	3137	Μαρία	Μαρίας	
Matt 1:18	τῷ	T-DSM	T-DSM	3588	ὁ	τῷ	
Matt 1:18	Ἰωσήφ,	N-PRI	N-PRI	2501	Ἰωσήφ	Ἰωσήφ	
Matt 1:18	πρὶν	ADV	ADV	4250	πρίν	πρίν	
Matt 1:18	ἢ	PRT	PRT	2228	ἤ	ἤ	
Matt 1:18	συνελθεῖν	V-2AAN	V-2AAN	4905&5629	συνέρχομαι	συνελθεῖν	
Matt 1:18	αὐτοὺς	P-APM	P-APM	846	αὐτός	αὐτούς	
Matt 1:18	εὑρέθη	V-API-3S	V-API-3S	2147&5681	εὑρίσκω	εὑρέθη	
Matt 1:18	ἐν	PREP	PREP	1722	ἐν	ἐν	
Matt 1:18	γαστρὶ	N-DSF	N-DSF	1064	γαστήρ	γαστρί	
Matt 1:18	ἔχουσα	V-PAP-NSF	V-PAP-NSF	2192&5723	ἔχω	ἔχουσα	
Matt 1:18	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:18	Πνεύματος	N-GSN	N-GSN	4151	πνεῦμα	Πνεύματος	
